Institusi,Halaman Terdeface,Attacker,H,M,R,Lokasi,Kejadian,Arsip,OS,Link,WebServer,IP Address,Source,Tanggal
,"sipp.pn-sungailiat.go.id/hyme....
							",Family Attack Cyber,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-06-07,www.zone-h.orghttp://www.zone-h.org/mirror/id/35096961,,http://sipp.pn-sungailiat.go.id/hyme.html,Apache,http://zonehmirrors.org/defaced/2021/06/07/sipp.pn-sungailiat.go.id/sipp.pn-sungailiat.go.id/hyme.html,2021-06-07 18:23:57
,"pn-kepanjen.go.id/radicalhaxor...
							",Family Attack Cyber,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-06-07,www.zone-h.orghttp://www.zone-h.org/mirror/id/35096893,,http://pn-kepanjen.go.id/radicalhaxor.html,Apache,http://zonehmirrors.org/defaced/2021/06/07/pn-kepanjen.go.id/pn-kepanjen.go.id/radicalhaxor.html,2021-06-07 17:03:44
,"pa-balikpapan.go.id/sabun.html
							",SABUNMANDI CYBER TEAM,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-06-05,www.zone-h.orghttp://www.zone-h.org/mirror/id/35091751,,http://pa-balikpapan.go.id/sabun.html,Apache,http://zonehmirrors.org/defaced/2021/06/05/pa-balikpapan.go.id/pa-balikpapan.go.id/sabun.html,2021-06-05 16:45:34
,"ms-meulaboh.go.id/sabun.html
							",SABUNMANDI CYBER TEAM,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-06-05,www.zone-h.orghttp://www.zone-h.org/mirror/id/35091739,,https://ms-meulaboh.go.id/sabun.html,Apache,http://zonehmirrors.org/defaced/2021/06/05/ms-meulaboh.go.id/ms-meulaboh.go.id/sabun.html,2021-06-05 16:24:05
,"pa-limboto.go.id
							",SABUNMANDI CYBER TEAM,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-06-05,www.zone-h.orghttp://www.zone-h.org/mirror/id/35091349,,http://pa-limboto.go.id,LiteSpeed,http://zonehmirrors.org/defaced/2021/06/05/pa-limboto.go.id/pa-limboto.go.id,2021-06-05 15:09:31
,"pa-donggala.go.id/sabun.html
							",SABUNMANDI CYBER TEAM,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-06-05,www.zone-h.orghttp://www.zone-h.org/mirror/id/35090405,,http://pa-donggala.go.id/sabun.html,Unknown,http://zonehmirrors.org/defaced/2021/06/05/pa-donggala.go.id/pa-donggala.go.id/sabun.html,2021-06-05 14:12:36
,"inspektorat.enrekangkab.go.id/...
							",Panataran,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-06-03,www.zone-h.orghttp://www.zone-h.org/mirror/id/35085088,,https://inspektorat.enrekangkab.go.id/by_Panataran.html,Apache,http://zonehmirrors.org/defaced/2021/06/03/inspektorat.enrekangkab.go.id/inspektorat.enrekangkab.go.id/by_Panataran.html,2021-06-03 15:05:52
,"bolselkab.go.id/aaa.php
							",Family Attack Cyber,,,,"b'<td><img alt=""Lithuania"" src=""/images/cflags/png/lt.png"" title=""Lithuania""/></td>'",2021-05-31,www.zone-h.orghttp://www.zone-h.org/mirror/id/35077924,,https://bolselkab.go.id/aaa.php,Unknown,http://zonehmirrors.org/defaced/2021/05/31/bolselkab.go.id/bolselkab.go.id/aaa.php,2021-05-31 13:31:39
,"iklim.aceh.bmkg.go.id/Fighter.txt
							",Royal Battler BD,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-31,www.zone-h.orghttp://www.zone-h.org/mirror/id/35068147,,http://iklim.aceh.bmkg.go.id/Fighter.txt,IIS/10.0,http://zonehmirrors.org/defaced/2021/05/28/iklim.aceh.bmkg.go.id/iklim.aceh.bmkg.go.id/Fighter.txt,2021-05-28 18:16:57
,"ms-calang.go.id/images/gmapfp/...
							",Mr.ToKeiChun69,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-31,www.zone-h.orghttp://www.zone-h.org/mirror/id/35069172,,https://ms-calang.go.id/images/gmapfp/o.jpg,LiteSpeed,http://zonehmirrors.org/defaced/2021/05/29/ms-calang.go.id/ms-calang.go.id/images/gmapfp/o.jpg,2021-05-29 15:04:42
,"naditirawidya.kemdikbud.go.id/...
							",Moroccan Revolution,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-31,www.zone-h.orghttp://www.zone-h.org/mirror/id/35071898,,https://naditirawidya.kemdikbud.go.id/public/site/images/ma/zabi.gif,Apache,http://zonehmirrors.org/defaced/2021/05/30/naditirawidya.kemdikbud.go.id/naditirawidya.kemdikbud.go.id/public/site/images/ma/zabi.gif,2021-05-30 14:14:02
,"jurnalwalasuji.kemdikbud.go.id...
							",Moroccan Revolution,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-31,www.zone-h.orghttp://www.zone-h.org/mirror/id/35071895,,https://jurnalwalasuji.kemdikbud.go.id/public/site/images/ksa/zabi.gif,Apache,http://zonehmirrors.org/defaced/2021/05/30/jurnalwalasuji.kemdikbud.go.id/jurnalwalasuji.kemdikbud.go.id/public/site/images/ksa/zabi.gif,2021-05-30 14:06:13
,"suarbetang.kemdikbud.go.id/jur...
							",Moroccan Revolution,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-31,www.zone-h.orghttp://www.zone-h.org/mirror/id/35071894,,https://suarbetang.kemdikbud.go.id/jurnal/public/site/images/ksa/zabi.gif,Apache,http://zonehmirrors.org/defaced/2021/05/30/suarbetang.kemdikbud.go.id/suarbetang.kemdikbud.go.id/jurnal/public/site/images/ksa/zabi.gif,2021-05-30 14:02:55
,"jantra.kemdikbud.go.id/public/...
							",Moroccan Revolution,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-31,www.zone-h.orghttp://www.zone-h.org/mirror/id/35071892,,https://jantra.kemdikbud.go.id/public/site/images/ksa/zabi.gif,Apache,http://zonehmirrors.org/defaced/2021/05/30/jantra.kemdikbud.go.id/jantra.kemdikbud.go.id/public/site/images/ksa/zabi.gif,2021-05-30 13:58:42
