Institusi,Halaman Terdeface,Attacker,H,M,R,Lokasi,Kejadian,Arsip,OS
,"dishub.tasikmalayakab.go.id/im...
							",Royal Battler BD,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015215,
,"sukaratu.tasikmalayakab.go.id/...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015214,
,"setwan.tasikmalayakab.go.id/im...
							",Royal Battler BD,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015213,
,"satpolpp.tasikmalayakab.go.id/...
							",Royal Battler BD,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015212,
,"inspektorat.tasikmalayakab.go....
							",Royal Battler BD,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015211,
,"karyawangi.tasikmalayakab.go.i...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015210,
,"disarsipus.tasikmalayakab.go.i...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015209,
,"disdukcapil.tasikmalayakab.go....
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015208,
,"diskominfo.tasikmalayakab.go.i...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015207,
,"dpmdpakb.tasikmalayakab.go.id/...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015206,
