Institusi,Halaman Terdeface,Attacker,H,M,R,Lokasi,Kejadian,Arsip,OS
,"ejournal.b4t.go.id/public/site...
							",Mr.ToKeiChun69,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-27,www.zone-h.org/mirror/id/35065647,
,"simkes.serangkab.go.id/images/...
							",Royal Battler BD,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-27,www.zone-h.org/mirror/id/35062623,
,"pa-kabmadiun.go.id//images/fig...
							",Royal Battler BD,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-27,www.zone-h.org/mirror/id/35062617,
,"sangkhakala.kemdikbud.go.id/pu...
							",Mr.Kro0oz.305,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-27,www.zone-h.org/mirror/id/35065263,
,"mhn.bphn.go.id/public/site/ima...
							",Mr.Kro0oz.305,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-27,www.zone-h.org/mirror/id/35065261,
,"simpeg.kuburayakab.go.id/readm...
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-27,www.zone-h.org/mirror/id/35065306,
,"pn-gedongtataan.go.id/y.htm
							",Makato v2.19,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-26,www.zone-h.org/mirror/id/35062498,
,"pn-pasarwajo.go.id/Fighter.html
							",Royal Battler BD,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-25,www.zone-h.org/mirror/id/35060908,
,"bbalitvet.litbang.pertanian.go...
							",Mr. BDKR28,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-25,www.zone-h.org/mirror/id/35060243,
,"iklim.endekab.go.id
							",Amine Mrx,H,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-25,www.zone-h.org/mirror/id/35060534,
,"journal.bappenas.go.id/public/...
							",Mr.Kro0oz.305,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-24,www.zone-h.org/mirror/id/35053687,
,"jurnal.bpk.go.id/public/site/i...
							",Mr.Kro0oz.305,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-24,www.zone-h.org/mirror/id/35053686,
,"jikn.go.id
							",Chemod-77,H,,,b'<td></td>',2021-05-24,www.zone-h.org/mirror/id/35059477,
,"lampung.polri.go.id/ex.htm
							",C@tCRUTz,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-22,www.zone-h.org/mirror/id/35054342,
,"tojounauna.go.id/read.htm
							",Mr.L3RB1,,,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-21,www.zone-h.org/mirror/id/35053739,
,"dprd.cilacapkab.go.id/read.txt
							",Mr.L3RB1,,,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051890,
,"www.jdih.alorkab.go.id/read.txt
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051127,
,"jdih-setwan.alorkab.go.id/read...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051126,
,"www.jdih.saburaijuakab.go.id/r...
							",Mr.L3RB1,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050934,
,"www.jdih.mahakamulukab.go.id/r...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050412,
,"www.jdih.dprd.mahakamulukab.go...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050411,
,"www.jdih.semarangkota.go.id/re...
							",Mr.L3RB1,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35049907,
,"www.email.alorkab.go.id/read.txt
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051130,
,"webalor2012.alorkab.go.id/read...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051129,
,"adminemail.alorkab.go.id/read.txt
							",Mr.L3RB1,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35051128,
,"testku.majenekab.go.id/read.txt
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050544,
,"maintenanceweb.majenekab.go.id...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050543,
,"www.webmail.majenekab.go.id/re...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050542,
,"sirumung.majenekab.go.id/read.txt
							",Mr.L3RB1,,,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050541,
,"inspektorat.mahakamulukab.go.i...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050410,
,"humas.mahakamulukab.go.id/read...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050409,
,"dprd.mahakamulukab.go.id/read.txt
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050408,
,"dlh.mahakamulukab.go.id/read.txt
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050407,
,"diskominfo.mahakamulukab.go.id...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050406,
,"dishub.mahakamulukab.go.id/rea...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050405,
,"disdikbud.mahakamulukab.go.id/...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050404,
,"dapat.mahakamulukab.go.id/read...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050403,
,"covid19.mahakamulukab.go.id/re...
							",Mr.L3RB1,,M,,"b'<td><img alt=""Singapore"" src=""/images/cflags/png/sg.png"" title=""Singapore""/></td>'",2021-05-20,www.zone-h.org/mirror/id/35050402,
